Column;wikiname;variations;wikiID;tag;count
0;A.M._FISCHER;['A.M. Fischer'];noWikiID;PERSON;"1"
1;AUGUST_WILHELM_SCHLEGEL;['A.W. Schlegels'];noWikiID;PERSON;"1"
2;A._AARNE;['A. Aarne'];noWikiID;PERSON;"1"
3;A._BAUMBERG;['A. Baumberg'];noWikiID;PERSON;"1"
4;A._BIERCE;['A. Bierce'];noWikiID;PERSON;"1"
5;A._BOHSE;['A. Bohse'];noWikiID;PERSON;"1"
6;A._CH;['A. Ch'];noWikiID;PERSON;"1"
7;A._EHRISMANN;['A. Ehrismann'];noWikiID;PERSON;"1"
8;A._HOFFMANNS;['A. Hoffmanns'];noWikiID;PERSON;"1"
9;A._JÄGER;['A. Jäger'];noWikiID;PERSON;"1"
10;A._L._KARSCH;['A. L. Karsch'];noWikiID;PERSON;"1"
11;A._M._HAAS;['A. M. Haas'];noWikiID;PERSON;"1"
12;A._MÜLLER;['A. Müller'];noWikiID;PERSON;"1"
13;A._POPE;['A. Pope'];noWikiID;PERSON;"1"
14;A._RÖCKEL;['A. Röckel'];noWikiID;PERSON;"1"
15;A._SCHMIDT;['A. Schmidt'];noWikiID;PERSON;"1"
16;A._SCHÄFFER;['A. Schäffer'];noWikiID;PERSON;"1"
17;A._STAHL;['A. Stahl'];noWikiID;PERSON;"1"
18;A._STEFFEN;['A. Steffen'];noWikiID;PERSON;"3"
19;A._THIERRY;['A. Thierry'];noWikiID;PERSON;"1"
20;A._TISCHBEIN;['A. Tischbein'];noWikiID;PERSON;"2"
21;A._UEBERSPANNTE;['A. Ueberspannte'];noWikiID;PERSON;"1"
22;A._V._WYL;['A. v. Wyl'];noWikiID;PERSON;"1"
23;A._VON;['A. Von'];noWikiID;PERSON;"1"
24;AUGUST_WILHELM_SCHLEGEL;['A. W. Schlegel'];noWikiID;PERSON;"17"
25;AUGUST_WILHELM_SCHLEGEL;['A. W. Schlegels'];noWikiID;PERSON;"3"
26;A._WEGER;['A. Weger'];noWikiID;PERSON;"2"
27;A._ZOLLINGERS;['A. Zollingers'];noWikiID;PERSON;"2"
28;A._ZWEIG;['A. Zweig'];noWikiID;PERSON;"1"
29;A1:18;['A1:18'];noWikiID;PERSON;"1"
30;A1:82;['A1:82'];noWikiID;PERSON;"1"
31;AARON;['Aaron'];noWikiID;PERSON;"1"
32;AARONS_GERTE;['Aarons Gerte'];noWikiID;PERSON;"1"
33;AARON_GUMPERTZ;['Aaron Gumpertz'];noWikiID;PERSON;"1"
34;AARON_REISS;['Aaron Reiss'];noWikiID;PERSON;"1"
35;ABAS;['Abas'];noWikiID;PERSON;"1"
36;ABBADONA;['Abbadona'];noWikiID;PERSON;"1"
37;ABBE_CONTI;['Abbe Conti'];noWikiID;PERSON;"1"
38;ABBTS;['Abbts'];noWikiID;PERSON;"1"
39;ABC'S;"[""ABC's""]";noWikiID;PERSON;"1"
40;ABEL;['Abel'];noWikiID;PERSON;"1"
41;ABELE;['ABELE'];noWikiID;PERSON;"4"
42;ABELES_DEVISE;['ABELES Devise'];noWikiID;PERSON;"1"
43;ABELS;['Abels'];noWikiID;PERSON;"2"
44;ABENTEUER-ROMANCIER_AUGUST_LAFONTAINE;['Abenteuer-Romancier August Lafontaine'];noWikiID;PERSON;"1"
45;ABGESCHATTET;['Abgeschattet'];noWikiID;PERSON;"1"
46;ABGRÜNDIGERWEISE;['Abgründigerweise'];noWikiID;PERSON;"1"
47;ABHÄNGIGKEITS-_UND_GEWALTVERHÄLTNISSE;['Abhängigkeits- und Gewaltverhältnisse'];noWikiID;PERSON;"1"
48;ABIGAI;['Abigai'];noWikiID;PERSON;"1"
49;ABLUTIONS;['Ablutions'];noWikiID;PERSON;"6"
50;ABRAHAM;['Abraham'];noWikiID;PERSON;"2"
51;ABRAHAM_A_SANCTA_CLARA;['Abrahams a Sancta Clara', 'Abraham a Sancta Clara', 'Johann Ulrich Megerle', 'ABRAHAM A SANCTA CLARAS'];Q61137;PERSON;"7"
